Tier,Slug,Season_Count,RTW_Seasons,Men_Seasons,Already_Collected,Selected(Y/N),Notes
T8-Minor (2-3 seasons),maje,3,3,0,N,n,
T8-Minor (2-3 seasons),matieres-fecales,3,3,0,N,n,
T8-Minor (2-3 seasons),matty-bovan,3,3,0,N,n,
T8-Minor (2-3 seasons),moncler-grenoble,3,3,0,N,n,
T8-Minor (2-3 seasons),mordecai,3,0,3,N,n,
T8-Minor (2-3 seasons),nhoolywood-test-product-exchange-service,3,0,3,N,n,
T8-Minor (2-3 seasons),onitsuka-tiger,3,3,0,N,n,
T8-Minor (2-3 seasons),paolina-russo,3,3,0,N,n,
T8-Minor (2-3 seasons),parsons-mfa,3,3,0,N,n,
T8-Minor (2-3 seasons),patrick-mcdowell,3,3,0,N,n,
T8-Minor (2-3 seasons),philosophy,3,3,0,N,n,
T8-Minor (2-3 seasons),phoebe-english,3,3,0,N,n,
T8-Minor (2-3 seasons),ponte,3,3,0,N,n,
T8-Minor (2-3 seasons),raquel-allegra,3,3,0,N,n,
T8-Minor (2-3 seasons),rochas,3,3,0,N,n,
T8-Minor (2-3 seasons),roland-mouret,3,3,0,N,n,
T8-Minor (2-3 seasons),rvng-couture,3,3,0,N,n,
T8-Minor (2-3 seasons),salon-1884,3,3,0,N,n,
T8-Minor (2-3 seasons),sanderlak,3,1,2,N,n,
T8-Minor (2-3 seasons),sinead-odwyer,3,3,0,N,n,
T8-Minor (2-3 seasons),ss-daley,3,2,1,N,n,
T8-Minor (2-3 seasons),st-john,3,3,0,N,n,
T8-Minor (2-3 seasons),stein,3,2,1,N,n,
T8-Minor (2-3 seasons),tagliatore,3,3,0,N,n,
T8-Minor (2-3 seasons),tommy-hilfiger,3,3,0,N,n,
T8-Minor (2-3 seasons),torisheju,3,3,0,N,n,
T8-Minor (2-3 seasons),twp,3,3,0,N,n,
T8-Minor (2-3 seasons),veronique-leroy,3,3,0,N,n,
T8-Minor (2-3 seasons),viktor-rolf,3,3,0,N,n,
T8-Minor (2-3 seasons),who-decides-war,3,2,1,N,n,
T8-Minor (2-3 seasons),zero-maria-cornejo,3,3,0,N,n,
T8-Minor (2-3 seasons),aletta,2,2,0,N,n,
T8-Minor (2-3 seasons),antonio-grimaldi,2,2,0,N,n,
T8-Minor (2-3 seasons),apiece-apart,2,2,0,N,n,
T8-Minor (2-3 seasons),ardazaei,2,2,0,N,n,
T8-Minor (2-3 seasons),arnar-mar-jonsson,2,0,2,N,n,
T8-Minor (2-3 seasons),atelier-prabal-gurung,2,2,0,N,n,
T8-Minor (2-3 seasons),attersee,2,2,0,N,n,
T8-Minor (2-3 seasons),aubero,2,0,2,N,n,
T8-Minor (2-3 seasons),calvin-luo,2,2,0,N,n,
T8-Minor (2-3 seasons),colville,2,2,0,N,n,
T8-Minor (2-3 seasons),craig-green,2,0,2,N,n,
T8-Minor (2-3 seasons),edward-crutchley,2,2,0,N,n,
T8-Minor (2-3 seasons),ester-manas,2,2,0,N,n,
T8-Minor (2-3 seasons),filippa-k,2,2,0,N,n,
T8-Minor (2-3 seasons),francesco-murano,2,2,0,N,n,
T8-Minor (2-3 seasons),fumito-ganryu,2,0,2,N,n,
T8-Minor (2-3 seasons),giuseppe-di-morabito,2,2,0,N,n,
T8-Minor (2-3 seasons),grace-ling,2,2,0,N,n,
T8-Minor (2-3 seasons),helmut-lang,2,2,0,N,n,
